id,agent,unit,group
23667,agent,unit,4
23668,agent,unit,2
23669,agent,unit,2
23670,agent,unit,2
23671,agent,unit,2
23672,agent,unit,2
23673,agent,unit,2
23674,agent,unit,2
23675,agent,unit,3
23676,agent,unit,3
23677,agent,unit,3
23678,agent,unit,1
23679,agent,unit,3
23680,agent,unit,2
23681,agent,unit,2
23682,agent,unit,3
23683,agent,unit,3
23684,agent,unit,3
23685,agent,unit,2
23686,agent,unit,1
23687,agent,unit,2
23688,agent,unit,1
23689,agent,unit,2
14,agent,unit,4
11828,agent,unit,1
11829,agent,unit,1
11854,agent,unit,2
11855,agent,unit,3
11856,agent,unit,2
15,agent,unit,2
18,agent,unit,3
23721,agent,unit,2
23722,agent,unit,2
23723,agent,unit,2
23724,agent,unit,3
23725,agent,unit,3
23726,agent,unit,3
23727,agent,unit,4
23728,agent,unit,2
23729,agent,unit,4
23730,agent,unit,3
23731,agent,unit,2
23732,agent,unit,3
23733,agent,unit,3
23734,agent,unit,3
23735,agent,unit,2
23736,agent,unit,3
23737,agent,unit,4
23738,agent,unit,4
23739,agent,unit,3
23740,agent,unit,2
23741,agent,unit,3
23742,agent,unit,2
23743,agent,unit,5
23744,agent,unit,2
23745,agent,unit,4
23746,agent,unit,2
23747,agent,unit,2
23748,agent,unit,2
23749,agent,unit,2
23750,agent,unit,1
23751,agent,unit,2
23752,agent,unit,3
13,agent,unit,3
23761,agent,unit,3
19,agent,unit,2
23767,agent,unit,3
11831,agent,unit,2
11832,agent,unit,3
11833,agent,unit,3
11836,agent,unit,3
23787,agent,unit,3
23788,agent,unit,2
23789,agent,unit,1
23790,agent,unit,2
23791,agent,unit,3
23792,agent,unit,2
23793,agent,unit,3
23794,agent,unit,2
23795,agent,unit,3
23796,agent,unit,2
23797,agent,unit,3
23798,agent,unit,2
23799,agent,unit,4
23800,agent,unit,3
23801,agent,unit,3
23802,agent,unit,4
23803,agent,unit,4
23804,agent,unit,4
23805,agent,unit,2
23806,agent,unit,4
23807,agent,unit,3
23808,agent,unit,2
23809,agent,unit,4
23810,agent,unit,1
23811,agent,unit,5
23812,agent,unit,4
23813,agent,unit,4
23814,agent,unit,4
23815,agent,unit,3
23816,agent,unit,2
23817,agent,unit,3
11834,agent,unit,3
11838,agent,unit,2
23820,agent,unit,3
